CSD Code,Census subdivision (CSD) name,2006 Income Score,2006 Education Score,2006 Housing Score,2006 Labour Force Activity Score,2006 CWB Score,2006 2B Population,Type of collectivity,Province
1001101,"Division No.  1, Subd. V",,,,,,,Other,Newfoundland and Labrador
1001105,Portugal Cove South,,,,,69,230,Other,Newfoundland and Labrador
1001113,Trepassey,80,42,95,69,72,755,Other,Newfoundland and Labrador
1001120,St. Shott's,,,,,74,110,Other,Newfoundland and Labrador
1001124,"Division No.  1, Subd. U",75,43,94,77,72,1620,Other,Newfoundland and Labrador
1001126,Cape Broyle,74,49,100,69,73,545,Other,Newfoundland and Labrador
1001131,Renews-Cappahayden,81,51,93,80,76,420,Other,Newfoundland and Labrador
1001136,Fermeuse,78,38,95,70,70,250,Other,Newfoundland and Labrador
1001140,Port Kirwan,,,,,76,85,Other,Newfoundland and Labrador
1001144,Aquaforte,,,,,68,110,Other,Newfoundland and Labrador
1001149,Ferryland,75,51,97,78,75,530,Other,Newfoundland and Labrador
1001155,"Division No.  1, Subd. W",83,39,93,70,71,560,Other,Newfoundland and Labrador
1001169,St. Vincent's-St. Stephen's-Peter's River,67,21,93,64,61,365,Other,Newfoundland and Labrador
1001174,Gaskiers-Point La Haye,66,29,93,57,61,300,Other,Newfoundland and Labrador
1001178,St. Mary's,81,53,100,71,76,460,Other,Newfoundland and Labrador
1001181,Riverhead,,,,,69,210,Other,Newfoundland and Labrador
1001186,Admirals Beach,,,,,73,185,Other,Newfoundland and Labrador
1001192,St. Joseph's,,,,,78,155,Other,Newfoundland and Labrador
1001197,Mount Carmel-Mitchells Brook-St. Catherines,77,43,98,55,68,435,Other,Newfoundland and Labrador
1001203,"Division No.  1, Subd. X",73,46,96,69,71,510,Other,Newfoundland and Labrador
1001207,Colinet,,,,,76,165,Other,Newfoundland and Labrador
1001214,"Division No.  1, Subd. C",,,,,64,185,Other,Newfoundland and Labrador
1001219,Branch,88,37,100,79,76,310,Other,Newfoundland and Labrador
1001225,Point Lance,,,,,73,120,Other,Newfoundland and Labrador
1001228,St. Bride's,63,30,91,61,61,375,Other,Newfoundland and Labrador
1001234,"Division No.  1, Subd. B",73,46,93,63,69,480,Other,Newfoundland and Labrador
1001240,Placentia,75,50,97,73,74,3795,Other,Newfoundland and Labrador
1001254,Fox Harbour,66,42,91,52,63,310,Other,Newfoundland and Labrador
1001259,"Division No.  1, Subd. A",79,44,95,72,72,895,Other,Newfoundland and Labrador
1001263,Long Harbour-Mount Arlington Heights,,,,,77,210,Other,Newfoundland and Labrador
1001267,Southern Harbour,75,36,91,69,68,475,Other,Newfoundland and Labrador
1001270,Arnold's Cove,82,41,94,70,72,1000,Other,Newfoundland and Labrador
1001274,Come By Chance,81,37,93,77,72,260,Other,Newfoundland and Labrador
1001277,Sunnyside,81,44,97,74,74,470,Other,Newfoundland and Labrador
1001281,Chance Cove,66,45,100,83,74,310,Other,Newfoundland and Labrador
1001285,Norman's Cove-Long Cove,73,40,96,72,70,775,Other,Newfoundland and Labrador
1001289,Chapel Arm,69,39,94,63,66,450,Other,Newfoundland and Labrador
1001293,"Division No.  1, Subd. Y",75,46,97,74,73,1185,Other,Newfoundland and Labrador
1001298,Whitbourne,73,44,93,77,71,855,Other,Newfoundland and Labrador
1001304,"Division No.  1, Subd. E",72,44,96,73,71,3010,Other,Newfoundland and Labrador
1001308,Whiteway,,,,,73,190,Other,Newfoundland and Labrador
1001312,Heart's Delight-Islington,67,41,96,62,66,665,Other,Newfoundland and Labrador
1001316,Heart's Desire,,,,,60,225,Other,Newfoundland and Labrador
1001321,"Division No.  1, Subd. F",78,41,93,77,72,580,Other,Newfoundland and Labrador
1001325,Heart's Content,74,52,100,82,77,415,Other,Newfoundland and Labrador
1001328,New Perlican,,,,,64,185,Other,Newfoundland and Labrador
1001332,Winterton,67,30,95,75,67,500,Other,Newfoundland and Labrador
1001335,Hant's Harbour,72,46,96,79,73,405,Other,Newfoundland and Labrador
1001339,"Division No.  1, Subd. G",73,41,96,73,71,2220,Other,Newfoundland and Labrador
1001343,Old Perlican,74,40,98,89,75,645,Other,Newfoundland and Labrador
1001347,Bay de Verde,69,37,89,88,71,470,Other,Newfoundland and Labrador
1001352,Small Point-Adam's Cove-Blackhead-Broad Cove,72,41,99,75,72,435,Other,Newfoundland and Labrador
1001357,"Division No.  1, Subd. H",73,39,99,76,71,425,Other,Newfoundland and Labrador
1001361,Salmon Cove,67,41,96,75,70,705,Other,Newfoundland and Labrador
1001365,Victoria,73,46,97,74,72,1745,Other,Newfoundland and Labrador
1001370,Carbonear,78,53,96,73,75,4540,Other,Newfoundland and Labrador
1001374,"Division No.  1, Subd. I",,,,,78,210,Other,Newfoundland and Labrador
